Article/Prefix,Word,English Translation,Example Sentence,English Translation (Sentence),POS
die,"Eigenschaft, -en",Characteristics,Zuverlässigkeit ist eine wichtige Eigenschaft in diesem Beruf.,Reliability is an important quality in this profession.,N
der,"Eigentümer, -",Owner,Der Eigentümer des Hauses muss den Schaden reparieren lassen.,The homeowner must have the damage repaired.,N
,eigenverantwortlich,self-responsibility,In dieser Position müssen Sie eigenverantwortlich arbeiten können.,In this position you must be able to work independently.,Adj
die,"Eigenverantwortung, -en",Personal responsibility,Die Mitarbeiter übernehmen mehr Eigenverantwortung für ihre Projekte.,Employees are taking on more personal responsibility for their projects.,N
,einarbeiten,integrate,Die neuen Kollegen müssen sich erst in die Software einarbeiten.,The new colleagues first need to familiarize themselves with the software.,V
die,"Einarbeitung, -en",Induction,Die Einarbeitung in das neue System wird einige Wochen dauern.,It will take several weeks to get used to the new system.,N
,einbauen,install,Der Mechaniker wird das neue Ersatzteil sofort einbauen.,The mechanic will install the new replacement part immediately.,V
der,"Einbauschrank, -ä-e",Built-in wardrobe,Ein Einbauschrank spart viel Platz im Schlafzimmer.,A built-in wardrobe saves a lot of space in the bedroom.,N
,einbeziehen,include,Wir müssen alle Abteilungen in die Planung einbeziehen.,We need to involve all departments in the planning.,V
die,"Einbindung, -en",Integration,Die Einbindung der Kunden in die Entwicklung ist uns wichtig.,Involving customers in the development process is important to us.,N
der,"Einblick, -e",Insight,Das Praktikum gab mir einen guten Einblick in den Arbeitsalltag.,The internship gave me a good insight into everyday work life.,N
,einbringen,contribute,Jeder Mitarbeiter kann eigene Ideen in das Projekt einbringen.,Every employee can contribute their own ideas to the project.,V
die,"Einbuße, -n",Loss,Das Unternehmen musste im letzten Quartal starke finanzielle Einbußen hinnehmen.,The company suffered significant financial losses in the last quarter.,N
,eindämmen,contain,"Wir müssen versuchen, die Kosten für das Projekt einzudämmen.",We need to try to contain the costs of the project.,V
,eindrehen,twist,"Sie müssen die Schraube fest eindrehen, damit sie hält.",You need to tighten the screw securely so that it holds.,V
der,"Eindruck, -ü-e",Impression,Der Bewerber hat beim Gespräch einen sehr guten Eindruck hinterlassen.,The applicant made a very good impression during the interview.,N
,einfetten,grease,Vor dem Backen müssen Sie die Form gut einfetten.,You need to grease the tin well before baking.,V
,einfühlsam,sensitive,Eine Krankenschwester sollte einfühlsam mit den Patienten umgehen.,A nurse should treat patients with empathy.,Adj
,einfüllen,pour,Bitte füllen Sie das Wasser in den dafür vorgesehenen Behälter ein.,Please fill the water into the designated container.,V
die,"Eingangsrechnung, -en",Incoming invoice,Die Buchhaltung prüft jede Eingangsrechnung sorgfältig.,The accounting department carefully checks every incoming invoice.,N
,eingehen auf,address (Acc.),Der Redner ist ausführlich auf die Fragen des Publikums eingegangen.,The speaker addressed the audience's questions in detail.,Adv
,eingehend,in detail,Wir haben die Angelegenheit eingehend geprüft und diskutiert.,We have thoroughly examined and discussed the matter.,Adj
die,"Eingliederung, -en",Integration,Die Eingliederung nach langer Krankheit erfordert oft viel Geduld.,Reintegration after a long illness often requires a lot of patience.,N
der,"Eingriff, -e",Intervention,Der chirurgische Eingriff verlief ohne Komplikationen.,The surgical procedure went without complications.,N
,einhalten,retain,"Bitte achten Sie darauf, alle Fristen genau einzuhalten.",Please make sure to adhere strictly to all deadlines.,V
die,"Einhaltung, -en",Compliance,Die Einhaltung der Sicherheitsvorschriften wird streng kontrolliert.,Compliance with safety regulations is strictly monitored.,N
,Einheit 10,Unit 10,Wir behandeln heute die Grammatik aus Einheit 10.,Today we will cover the grammar from Unit 10.,Adv
,Einheit 11,Unit 11,In Einheit 11 geht es um das Thema Bewerbung.,Unit 11 deals with the topic of job applications.,Adv
,einhergehend,concomitant,Die mit der Krankheit einhergehenden Symptome sind unangenehm.,The symptoms associated with the disease are unpleasant.,Adj
,einholen,obtain,Wir müssen noch ein weiteres Angebot von einer anderen Firma einholen.,We still need to get another quote from a different company.,V
,einkalkulieren,factor in,Man sollte bei solchen Projekten immer einen Puffer für unvorhergesehene Kosten einkalkulieren.,"In such projects, one should always factor in a buffer for unforeseen costs.",V
die,"Einkommenseinbuße, -n",Loss of income,Durch die Kurzarbeit hatten viele Familien Einkommenseinbußen.,Many families suffered income losses due to short-time work.,N
die,"Einkommensteuer, -n",Income tax,Jeder Arbeitnehmer muss in Deutschland Einkommensteuer zahlen.,Every employee in Germany must pay income tax.,N
die,"Einkunft, -ü-e",Income,Sie müssen alle Ihre Einkünfte bei der Steuererklärung angeben.,You must declare all your income on your tax return.,N
,einlagern,store,Wir können die Möbel für ein paar Monate im Keller einlagern.,We can store the furniture in the basement for a few months.,V
der,"Einmalhandschuh, -e",Disposable glove,Im Labor ist das Tragen von Einmalhandschuhen Pflicht.,Wearing disposable gloves is mandatory in the laboratory.,N
,einplanen,plan,Sie sollten für die Fahrt zum Flughafen genug Zeit einplanen.,You should allow plenty of time for the journey to the airport.,V
,einreichen,submit,Bitte reichen Sie Ihren Urlaubsantrag bis Ende der Woche ein.,Please submit your vacation request by the end of the week.,V
die,"Einschätzung, -en",Assessment,Nach meiner Einschätzung wird das Projekt ein großer Erfolg.,"In my estimation, the project will be a great success.",N
,einschlagen,hit,"Wir haben uns entschieden, einen neuen Weg in der Marketingstrategie einzuschlagen.",We have decided to take a new approach to our marketing strategy.,V
sich,sich einschleichen,sneak in,Bei der Datenübertragung haben sich leider ein paar Fehler eingeschlichen.,"Unfortunately, a few errors crept in during the data transfer.",V
die,"Einschränkung, -en",Restrictions,Die neuen Regeln bedeuten eine starke Einschränkung unserer Freiheit.,The new rules represent a significant restriction of our freedom.,N
,einsehbar,viewable,Die Dokumente sind für alle Mitarbeiter im Intranet einsehbar.,The documents are accessible to all employees on the intranet.,Adj
,einseifen,lather up,Vor dem Abspülen muss man das Geschirr gründlich einseifen.,"Before washing, the dishes must be thoroughly soaped.",V
die,"Einsparung, -en",Savings,Durch die neuen Maßnahmen erhoffen wir uns große Einsparungen.,We expect significant savings from the new measures.,N
der,"Einstand, -ä-e",Debut,Zu seinem Einstand brachte der neue Kollege Kuchen mit.,The new colleague brought cake as a welcome gift.,N
die,"Einstandsfeier, -",Welcome party,Wir planen eine kleine Einstandsfeier für die neuen Auszubildenden.,We are planning a small welcome party for the new trainees.,N
sich,sich einstellen auf,set to,Wir müssen uns auf längere Wartezeiten einstellen.,We must prepare ourselves for longer waiting times.,V
die,"Einstellung, -en",Settings,Seine positive Einstellung zur Arbeit ist sehr vorbildlich.,His positive attitude towards work is very exemplary.,N
das,"Einstellungsgespräch, -e",Job interview,Das Einstellungsgespräch für die neue Position findet morgen statt.,The interview for the new position will take place tomorrow.,N
der,"Einstieg, -e",Entry,Ein Praktikum bietet einen guten Einstieg ins Berufsleben.,An internship offers a good entry point into professional life.,N
das,"Einstiegsgehalt, -ä-er",Starting salaryr,Das Einstiegsgehalt für Absolventen ist in dieser Branche recht hoch.,The starting salary for graduates in this industry is quite high.,N
,eintreffen,arrive,Die Lieferung wird voraussichtlich morgen Vormittag eintreffen.,The delivery is expected to arrive tomorrow morning.,V
die,"Einweisung, -en",Briefing,"Bevor Sie die Maschine bedienen, bekommen Sie eine kurze Einweisung.","Before you operate the machine, you will receive a short briefing.",N
die,"Einwilligung, -en",Consent,Für die Veröffentlichung der Fotos benötigen wir Ihre schriftliche Einwilligung.,We require your written consent to publish the photos.,N
,einzahlen,deposit,Ich möchte dieses Bargeld auf mein Girokonto einzahlen.,I would like to deposit this cash into my checking account.,V
der,"Einzelhandel, -",Retail trade,Der Einzelhandel hat in den letzten Jahren stark unter dem Online-Handel gelitten.,The retail sector has suffered greatly in recent years due to online commerce.,N
der,"Einzug, -ü-e",Entry,Der Einzug in die neue Wohnung war sehr anstrengend.,Moving into the new apartment was very tiring.,N
der,"Eisbrecher, -",Icebreaker,Ein kleiner Witz zu Beginn der Präsentation wirkte als guter Eisbrecher.,A little joke at the beginning of the presentation served as a good icebreaker.,N
das,"Eisenbahnnetz, -e",Railway network,Das Eisenbahnnetz in Deutschland ist sehr gut ausgebaut.,The railway network in Germany is very well developed.,N
das,"Elektroauto, -s",Electric car,Immer mehr Menschen entscheiden sich für den Kauf eines Elektroautos.,More and more people are choosing to buy an electric car.,N
der,"Elektrobackofen, -ö",Electric oven,Der neue Elektrobackofen heizt viel schneller auf als der alte.,The new electric oven heats up much faster than the old one.,N
der,"Elektrogrill, -s",Electric grill,Auf dem Balkon dürfen wir nur einen Elektrogrill benutzen.,We are only allowed to use an electric grill on the balcony.,N
der,"Elektromarkt, -ä-e",Electronics store,Ich habe den neuen Fernseher günstig im Elektromarkt gekauft.,I bought the new television cheaply at the electronics store.,N
die,"Elektromobilität, -",Electromobility,Die Förderung der Elektromobilität ist ein wichtiges politisches Ziel.,Promoting electromobility is an important political goal.,N
der,"Elektromotor, -en",Electric motor,Dieser Elektromotor ist besonders leise und effizient.,This electric motor is particularly quiet and efficient.,N
die,"Elektronik, -en",Electronics,Er interessiert sich sehr für Elektronik und repariert oft alte Geräte.,He is very interested in electronics and often repairs old devices.,N
das,"Elektronikmodul, -e",Electronic module,Das defekte Elektronikmodul in der Waschmaschine muss ausgetauscht werden.,The defective electronic module in the washing machine needs to be replaced.,N
das,"Elterngeld, -er",Parental allowance,Nach der Geburt des Kindes können Eltern Elterngeld beantragen.,Parents can apply for parental allowance after the birth of their child.,N
die,"Elternzeit, -",Parental leave,Sie nimmt nach der Geburt ihres Sohnes ein Jahr Elternzeit.,She is taking a year of parental leave after the birth of her son.,N
,emotional,emotionally,Die Abschiedsrede des Chefs war sehr emotional.,The boss's farewell speech was very emotional.,Adj
die,"Energieeinsparung, -en",Energy saving,Durch die bessere Isolierung erzielen wir große Energieeinsparungen.,The improved insulation allows us to achieve significant energy savings.,N
,energieintensiv,energy-intensive,Die Produktion von Aluminium ist sehr energieintensiv.,The production of aluminum is very energy intensive.,Adj
das,"Engagement, -s",Engagement,Wir danken Ihnen für Ihr großes Engagement bei diesem Projekt.,We thank you for your great commitment to this project.,N
,engagiert,committed,Sie ist eine sehr engagierte und fleißige Mitarbeiterin.,She is a very dedicated and hardworking employee.,Adj
der,"Engpass, -ä-e",Bottleneck,Wegen Lieferschwierigkeiten kam es zu einem Engpass bei bestimmten Materialien.,"Due to delivery difficulties, there was a shortage of certain materials.",N
,entfallen,omitted,Der Termin am Freitag muss leider krankheitsbedingt entfallen.,"Unfortunately, the appointment on Friday has to be cancelled due to illness.",V
,entgangen,escaped,"Es ist mir völlig entgangen, dass wir heute ein Meeting haben.",I completely missed the fact that we have a meeting today.,Adj
,entgegennehmen,receive,Der Empfangschef wird Ihre Beschwerde gerne entgegennehmen.,The head receptionist will be happy to accept your complaint.,V
das,"Entgelt, -e",Fee,Für seine harte Arbeit erhält er ein angemessenes Entgelt.,He receives appropriate compensation for his hard work.,N
die,"Entgeltfortzahlung, -en",Continued payment of wages,Bei Krankheit haben Sie Anspruch auf Entgeltfortzahlung für sechs Wochen.,"In case of illness, you are entitled to continued payment of wages for six weeks.",N
,entkalken,descaling,"Man sollte die Kaffeemaschine regelmäßig entkalken, damit sie nicht kaputtgeht.",You should descale your coffee machine regularly to prevent it from breaking down.,V
die,"Entlastung, -en",Relief,Die neue Software bringt eine deutliche Entlastung für die Buchhaltung.,The new software significantly reduces the workload for the accounting department.,N
die,"Entschädigung, -en",Compensation,Für den verspäteten Flug erhielten die Passagiere eine finanzielle Entschädigung.,The passengers received financial compensation for the delayed flight.,N
,entscheidend sein,be crucial,Für den Erfolg des Projekts wird eine gute Kommunikation entscheidend sein.,Good communication will be crucial for the success of the project.,Adv
der,"Entscheidungsspielraum, -ä-e",Discretionary scope,In meiner neuen Position habe ich einen größeren Entscheidungsspielraum.,In my new position I have greater scope for decision-making.,N
,entspannt,relaxed,Nach dem Urlaub wirkte er sehr entspannt und erholt.,"After his vacation, he seemed very relaxed and refreshed.",Adj
,entsprechen,are equivalent to,Das gelieferte Produkt entspricht leider nicht unseren Erwartungen.,"Unfortunately, the delivered product does not meet our expectations.",V
der,"Entwurf, -ü-e",Draft,Der Architekt präsentierte uns einen ersten Entwurf für das neue Bürogebäude.,The architect presented us with a first draft for the new office building.,N
,erarbeiten,develop,Wir müssen gemeinsam ein neues Konzept für das Marketing erarbeiten.,We need to develop a new marketing concept together.,V
,erbringen,provide,Der Dienstleister muss die vereinbarte Leistung fristgerecht erbringen.,The service provider must deliver the agreed service on time.,V
,erfolgen,take place,Die Zahlung muss innerhalb von 14 Tagen nach Rechnungsdatum erfolgen.,Payment must be made within 14 days of the invoice date.,V
,erfolgsversprechend,promising,Diese neue Strategie scheint sehr erfolgsversprechend zu sein.,This new strategy seems very promising.,Adj
,erforschen,explore,Wissenschaftler erforschen die Ursachen für diese seltene Krankheit.,Scientists are researching the causes of this rare disease.,V
,erfragen,inquire,Ich muss noch die genauen Preise für die Materialien erfragen.,I still need to find out the exact prices for the materials.,V
die,"Ergänzung, -en",Supplement,Als Ergänzung zum Hauptgericht servieren wir einen Salat.,We serve a salad as a complement to the main course.,N
das,"Ergebnisprotokoll, -e",Results record,Bitte senden Sie mir das Ergebnisprotokoll der gestrigen Sitzung zu.,Please send me the minutes of yesterday's meeting.,N
,ergreifen,seize,"Die Regierung muss Maßnahmen ergreifen, um die Wirtschaft zu stärken.",The government must take measures to strengthen the economy.,V
,erheben,raise,Das Institut wird neue Daten zur Kundenzufriedenheit erheben.,The institute will collect new data on customer satisfaction.,V
,erhitzen,heat,"Sie müssen das Öl in der Pfanne erhitzen, bevor Sie das Fleisch anbraten.",You need to heat the oil in the pan before frying the meat.,V
die,"Erkrankung, -en",Disease,Wegen einer schweren Erkrankung fiel er für mehrere Monate aus.,He was out of commission for several months due to a serious illness.,N
,erläutern,explain,"Könnten Sie mir diesen komplizierten Sachverhalt bitte noch einmal erläutern""","Could you please explain this complicated matter to me again""",V
,erlernen,learn,In diesem Kurs können Sie die Grundlagen der Programmierung erlernen.,In this course you can learn the basics of programming.,V
,ermöglichen,make possible,Ein Stipendium soll auch finanziell schwächeren Studenten das Studium ermöglichen.,A scholarship is intended to enable students from financially weaker backgrounds to study.,V
der,"Ersatzakku, -s",Replacement battery(ies),Für längere Ausflüge nehme ich immer einen Ersatzakku für meine Kamera mit.,"For longer trips, I always take a spare battery for my camera.",N
das,"Ersatzfahrzeug, -e",Replacement vehicle,Während der Reparatur meines Autos bekomme ich von der Werkstatt ein Ersatzfahrzeug.,"While my car is being repaired, the garage will provide me with a replacement vehicle.",N
der,"Ersatzteil, -e",Spare part,Die Lieferung des fehlenden Ersatzteils dauert leider zwei Wochen.,"Unfortunately, the delivery of the missing spare part will take two weeks.",N
,erscheinen,appear,Das neue Buch des Autors wird im nächsten Herbst erscheinen.,The author's new book will be published next autumn.,V
die,"Erschließung, -en",Development,Die Erschließung neuer Märkte in Asien ist unser wichtigstes Ziel.,Developing new markets in Asia is our most important goal.,N
,erschweren,complicate,Die schlechten Wetterbedingungen erschweren die Rettungsarbeiten erheblich.,The bad weather conditions are significantly hindering the rescue efforts.,V
,erstatten,reimburse,Die Versicherung wird Ihnen die entstandenen Kosten vollständig erstatten.,The insurance company will fully reimburse you for the costs incurred.,V
die,"Erstattung, -en",Refund,Bitte reichen Sie die Quittungen für die Erstattung der Reisekosten ein.,Please submit the receipts for reimbursement of travel expenses.,N
der,"Erstauftrag, -ä-e",First order,Wir haben heute den Erstauftrag von einem wichtigen neuen Kunden erhalten.,We received our first order today from an important new customer.,N
der,"Erste-Hilfe-Kurs, -e",First aid course,Jeder Mitarbeiter sollte regelmäßig einen Erste-Hilfe-Kurs besuchen.,Every employee should regularly attend a first aid course.,N
die,"Erstellung, -en",Creation,Die Erstellung des Jahresberichts nimmt viel Zeit in Anspruch.,Preparing the annual report takes a lot of time.,N
,erteilen,grant,Der Chef wird Ihnen morgen den offiziellen Auftrag erteilen.,The boss will give you the official order tomorrow.,V
die,"Erwachsenenbildung, -",Adult education,Die Volkshochschule bietet viele Kurse im Bereich der Erwachsenenbildung an.,The adult education center offers many courses in the field of adult education.,N
,erwähnen,mention,"Er hat vergessen zu erwähnen, dass er heute früher gehen muss.",He forgot to mention that he has to leave early today.,V
die,"Erwartung, -en",Expectation,Das Ergebnis hat unsere Erwartungen sogar noch übertroffen.,The result even exceeded our expectations.,N
,erweisen,prove,Dieser Ratschlag könnte sich im Nachhinein als sehr nützlich erweisen.,This advice could prove very useful in retrospect.,V
,erweitern,expand,"Wir planen, unser Sortiment im nächsten Jahr zu erweitern.",We plan to expand our product range next year.,V
die,"Erweiterung, -en",Extension,Die Erweiterung des Firmengebäudes soll im Frühjahr beginnen.,The expansion of the company building is scheduled to begin in the spring.,N
,erwerben,acquire,Sie können die Tickets online oder an der Abendkasse erwerben.,You can purchase tickets online or at the box office.,V
der/die,"Erwerbstätige, -n",Employed persons,Die Zahl der Erwerbstätigen ist im letzten Jahr leicht gestiegen.,The number of employed people rose slightly last year.,N
die,"Erwerbstätigkeit, -en",Employment,Nach der Elternzeit möchte sie wieder einer Erwerbstätigkeit nachgehen.,"After her parental leave, she would like to return to employment.",N
der/die,"Erzieher/in, -/-nen",Educator,Der Kindergarten sucht dringend zwei neue Erzieherinnen.,The kindergarten urgently needs two new kindergarten teachers.,N
,evangelisch,Protestant,Die evangelische Kirche im Dorf wurde im 18. Jahrhundert erbaut.,The Protestant church in the village was built in the 18th century.,Adj
,examiniert,examined,Wir stellen nur examinierte Pflegekräfte für diese anspruchsvolle Aufgabe ein.,We only hire qualified nurses for this demanding task.,Adj
das,"Existenzminimum, -minima",Subsistence level,"Das Gehalt reicht kaum aus, um das Existenzminimum zu sichern.",The salary is barely enough to secure a basic standard of living.,N
das,"Experiment, -e",Experiment,Im Chemieunterricht haben wir heute ein spannendes Experiment durchgeführt.,In chemistry class today we conducted an exciting experiment.,N
,explizit,explicit,"Ich habe dich explizit darum gebeten, dieses Dokument nicht weiterzuleiten.",I explicitly asked you not to forward this document.,Adj
,explodieren,explode,"Die Gasflasche darf nicht zu heiß werden, sonst könnte sie explodieren.","The gas cylinder must not get too hot, otherwise it could explode.",V
,exportieren,export,Unser Unternehmen exportiert seine Produkte in über 50 Länder weltweit.,Our company exports its products to over 50 countries worldwide.,V
,extern,external,Für dieses Projekt müssen wir einen externen Berater hinzuziehen.,We need to bring in an external consultant for this project.,V
der/die,"Fachberater/in, -/-nen",Specialist advisor,Der Fachberater im Baumarkt hat mir bei der Auswahl der richtigen Farbe geholfen.,The specialist advisor at the hardware store helped me choose the right color.,N
der,"Fachbereich, -e",Department,Er studiert im Fachbereich Wirtschaftswissenschaften an der Universität.,He is studying economics at the university.,N
der/die,"Fachbereichsleiter/in, -/-nen",Head of Department,Die Fachbereichsleiterin ist für die Koordination aller Kurse zuständig.,The head of department is responsible for coordinating all courses.,N
die,"Fachkraft, -ä-e",Skilled worker,In vielen Branchen herrscht derzeit ein großer Mangel an qualifizierten Fachkräften.,Many industries are currently experiencing a severe shortage of qualified professionals.,N
die,"Fachmesse, -n",Trade fair,Auf der Fachmesse präsentieren wir unsere neuesten Innovationen.,We will be presenting our latest innovations at the trade fair.,N
das,"Fachwissen, -",Expertise,Für diese Position ist ein umfangreiches technisches Fachwissen erforderlich.,This position requires extensive technical expertise.,N
das,"Fähigkeitsprofil, -e",Skills profile,Das Fähigkeitsprofil des Bewerbers passt perfekt zu unseren Anforderungen.,The applicant's skills profile perfectly matches our requirements.,N
die,"Fahrtkosten, -",Travel expenses,Die Firma übernimmt die Fahrtkosten für das Vorstellungsgespräch.,The company will cover the travel expenses for the job interview.,N
der/das,"Fakt, -en",Fact,Wir müssen uns bei der Entscheidung auf die harten Fakten stützen.,We must base our decision on hard facts.,N
,familiär,family,In unserem kleinen Unternehmen herrscht eine sehr familiäre Atmosphäre.,Our small company has a very family-like atmosphere.,Adj
der,"Familienkreis, -e",Family circle,Wir feiern das Fest nur im engsten Familienkreis.,We celebrate the holiday only with our immediate family.,N
das,"Feedback, -s",Feedback,Ich bitte um ein kurzes Feedback zu meinem Entwurf.,I would appreciate brief feedback on my draft.,N
der,"Fehlercode, -s",Error code,Der Computer zeigt einen unbekannten Fehlercode an.,The computer is displaying an unknown error code.,N
,fehlerfrei,error-free,Der Text ist fast komplett fehlerfrei geschrieben.,The text is written almost completely without errors.,Adv
,fehlerhaft,faulty,Das gelieferte Produkt war leider fehlerhaft.,The delivered product was unfortunately faulty.,Adj
der,"Fernlehrgang, -ä-e",Distance learning course,Sie absolviert einen Fernlehrgang zur Buchhalterin.,She is completing a distance learning course to become an accountant.,N
die,"Fertighausfirma, -en",Prefabricated house company,Die Fertighausfirma baut unser neues Zuhause in nur wenigen Wochen.,The prefabricated house company will build our new home in just a few weeks.,N
die,"Fertigstellung, -en",Completion,Die Fertigstellung des Gebäudes verzögert sich um einen Monat.,The building's completion is delayed by one month.,N
,festdrehen,tighten,"Sie müssen die Schraube festdrehen, damit es hält.",You need to tighten the screw so that it holds.,V
die,"Fettkreide, -",Fat chalk,Die Kinder malen gerne mit bunter Fettkreide.,The children enjoy drawing with colorful grease crayons.,N
der,"Feuerlöscher, -",Fire extinguisher,Der Feuerlöscher befindet sich direkt neben dem Ausgang.,The fire extinguisher is located right next to the exit.,N
der,"Feuermelder, -",Fire alarm,Bei Rauch schlägt der Feuermelder sofort Alarm.,The fire alarm sounds immediately when there is smoke.,N
die,"Feuerwehrzone, -n",Fire zone,Das Parken in der Feuerwehrzone ist strengstens verboten.,Parking in the fire lane is strictly prohibited.,N
der,"Fieberthermometer, -",Fever thermometer,"Hast du ein Fieberthermometer, um meine Temperatur zu messen""","Do you have a thermometer to measure my temperature""",N
die,"Filiale, -n",Branch(es),Unsere Bank eröffnet eine neue Filiale in der Innenstadt.,Our bank is opening a new branch in the city center.,N
die,"Finanz- und Versicherungs-dienstleistungen, -",Financial and insurance services,Das Unternehmen bietet verschiedene Finanz- und Versicherungsdienstleistungen an.,The company offers various financial and insurance services.,N
die,"Finanzabteilung, -en",Finance department,Bitte wenden Sie sich mit dieser Rechnung an die Finanzabteilung.,Please take this invoice to the finance department.,N
das,"Finanzamt, -ä-er",Tax officer,Ich muss meine Steuererklärung bis Mai beim Finanzamt einreichen.,I have to submit my tax return to the tax office by May.,N
die,"Finanzbranche, -n",Financial sector,Er arbeitet seit vielen Jahren erfolgreich in der Finanzbranche.,He has worked successfully in the financial industry for many years.,N
die,"Finanzierung, -en",Financing,Die Finanzierung des Projekts ist noch nicht komplett gesichert.,The financing for the project is not yet fully secured.,N
der,"Finanzplan, -ä-e",Financial plan,Wir müssen einen genauen Finanzplan für das nächste Jahr erstellen.,We need to create a detailed financial plan for next year.,N
der,"Fingernagel, -ä",Fingernail,Sie hat sich beim Arbeiten einen Fingernagel abgebrochen.,She broke a fingernail while working.,N
die,"Fingerspitze, -n",Fingertip,Er berührte die heiße Platte nur mit der Fingerspitze.,He touched the hot plate only with his fingertip.,N
,firmenintern,internal company,Diese Informationen sind streng vertraulich und nur firmenintern zu behandeln.,This information is strictly confidential and should only be handled internally.,V
das,"Firmenjubiläum, -en",Company anniversary,Nächste Woche feiern wir unser 50-jähriges Firmenjubiläum.,Next week we are celebrating our 50th company anniversary.,N
die,"Firmenkultur, -",Corporate culture,Eine offene Kommunikation ist Teil unserer Firmenkultur.,Open communication is part of our company culture.,N
die,"Firmenphilosophie, -n",Company philosophy,Nachhaltigkeit ist ein wichtiger Bestandteil unserer Firmenphilosophie.,Sustainability is an important part of our company philosophy.,N
die,"Firmenzentrale, -n",Company headquarters,Die Firmenzentrale befindet sich in München.,The company headquarters are located in Munich.,N
die,"Fixkosten, -",Fixed costs,Die Miete gehört zu den monatlichen Fixkosten unseres Betriebs.,The rent is one of our company's monthly fixed costs.,N
die,"Flamme, -n",Flame,Die Flamme der Kerze flackerte im Wind.,The candle flame flickered in the wind.,N
der,"Fleiß, -",Diligence,Ohne Fleiß wird man in diesem Beruf keinen Erfolg haben.,"Without hard work, you won't succeed in this profession.",N
die,"Flexibilität, -",Flexibility,Von unseren Mitarbeitern erwarten wir ein hohes Maß an Flexibilität.,We expect a high degree of flexibility from our employees.,N
der,"Fluchtweg, -e",Escape route,Im Notfall müssen die Fluchtwege immer frei gehalten werden.,"In case of emergency, escape routes must always be kept clear.",N
der/die,"Fluggerätemechaniker/in, -/-nen",Aircraft mechanic,Als Fluggerätemechaniker wartet er Hubschrauber und Flugzeuge.,"As an aircraft mechanic, he maintains helicopters and airplanes.",N
der/die,"Fluglotse/Fluglotsin, -n/-nen",Air traffic controller (male/female),Der Fluglotse ist für die Sicherheit im Luftraum verantwortlich.,The air traffic controller is responsible for safety in the airspace.,N
die,"Flugzeugabfertigung, -en",Aircraft handling,Die Flugzeugabfertigung am Flughafen muss sehr schnell gehen.,Aircraft handling at the airport must be very quick.,N
der/die,"Flugzeugreiniger/in, -/-nen",Aircraft cleaner,Die Flugzeugreiniger machen die Kabine für den nächsten Flug sauber.,The aircraft cleaners are cleaning the cabin for the next flight.,N
der,"Folgeauftrag, -ä-e",Follow-up order,"Wenn wir gute Arbeit leisten, bekommen wir vielleicht einen Folgeauftrag.","If we do good work, we might get a follow-up order.",N
die,"Folgebescheinigung, -en",Follow-up certificate,"Sie muss eine Folgebescheinigung beim Arbeitgeber einreichen, da sie noch krank ist.",She needs to submit a follow-up certificate to her employer because she is still ill.,N
,folglich,consequently,"Es hat stark geregnet, folglich sind die Straßen nass.","It has rained heavily, consequently the streets are wet.",Adj
die,"Fördermöglichkeit, -en",Funding opportunity,Wir informieren uns über finanzielle Fördermöglichkeiten für unser Startup.,We are looking into financial support options for our startup.,N
,formell,formally,Das Treffen mit dem Vorstand verlief sehr formell.,The meeting with the board was very formal.,Adj
der/die,"Forscher/in, -/-nen",Researcher,Die Forscher arbeiten an einem neuen Medikament gegen die Krankheit.,The researchers are working on a new drug to treat the disease.,N
,fortbilden,further education,In der IT-Branche muss man sich ständig fortbilden.,"In the IT industry, you have to constantly educate yourself.",V
die,"Fortzahlung, -en",Continued payment,Bei Krankheit haben Sie Anspruch auf Fortzahlung Ihres Gehalts.,"In case of illness, you are entitled to continued payment of your salary.",N
die,"Frachtkosten, -",Freight costs,Die Frachtkosten für die Lieferung ins Ausland sind recht hoch.,Shipping costs for deliveries abroad are quite high.,N
die,"Frage: etw. in Frage stellen, -n",Question: to question something,Wir sollten diese alte Regelung langsam in Frage stellen.,We should slowly begin to question this old rule.,N
der,"Fragebogen, -ö",Questionnaire,Bitte füllen Sie diesen Fragebogen zur Kundenzufriedenheit aus.,Please fill out this customer satisfaction questionnaire.,N
,freiberuflich,freelance,"Er arbeitet nicht fest angestellt, sondern freiberuflich als Grafiker.","He is not permanently employed, but works freelance as a graphic designer.",Adj
,freihalten,keep free,Bitte halten Sie diesen Parkplatz für unsere Gäste frei.,Please keep this parking space free for our guests.,V
die,"Freiluftbar, -s",Outdoor bar,Im Sommer sitzen wir abends gerne in der Freiluftbar am Strand.,"In the summer, we like to sit in the open-air bar on the beach in the evenings.",N
,freinehmen,take time off,"Ich muss mir morgen freinehmen, um zum Arzt zu gehen.",I need to take tomorrow off to go to the doctor.,V
,freistellen,isolate,Der Arbeitgeber kann Mitarbeiter unter bestimmten Bedingungen freistellen.,The employer can release employees from their duties under certain conditions.,V
die,"Freistellung, -en",Exemption,"Er hat eine Freistellung beantragt, um sich um seine kranke Mutter zu kümmern.",He has requested a leave of absence to care for his sick mother.,N
der,"Freizeitausgleich, -e",Leisure time off,Für die geleisteten Überstunden bekomme ich einen Freizeitausgleich.,I receive time off in lieu for the overtime I work.,N
der,"Freundeskreis, -e",Circle of friends,Er hat einen sehr großen und internationalen Freundeskreis.,He has a very large and international circle of friends.,N
